Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Event Hand,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1.77311E+12,0,1,1,135,-0.987874,0.08973086,0.1267015,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.9126766,0.08290051,0.1170569,0.3826835,135,-0.9878741,0.08973087,0.1267015
Trial Start,1.77311E+12,0,1,1,135,-0.987874,0.08973086,0.1267015,1,-1,-0.04817166,1.002624,0.3013437,1.048038,-0.002186158,-0.004137001,0.01598067,-0.9998614,358.0918,-0.1312869,-0.2484424,0.9596989,0.09817167,-0.002624273,-0.001343727,0.09821593,0.9115776,-0.09563513,-0.1271132,-0.3791074,224.5568,0.9851137,-0.1033499,-0.1373673
On Target,1.77311E+12,3.214461,1,1,135,-0.987874,0.08973086,0.1267015,1,-1,0.05574113,1.004957,0.2969604,1.049396,-0.8818912,0.14046,0.1576713,0.4215195,130.1389,-0.9725103,0.1548931,0.1738729,-0.005741131,-0.004957199,0.003039658,0.008171531,-0.04385503,-0.05947902,0.04408894,0.9962907,9.872915,-0.5096411,-0.6912081,0.5123593
Trial End,1.77311E+12,4.21345,1,2,135,-0.987874,0.08973086,0.1267015,1,-1,0.05144642,1.000721,0.295133,1.044602,-0.8853141,0.1085221,0.123317,0.4350114,128.428,-0.9832181,0.1205232,0.1369542,-0.001446422,-0.000720978,0.004867047,0.005128362,-0.05574942,-0.0143833,0.0293823,0.9979088,7.412148,-0.862483,-0.2225199,0.454565
Trial Load,1.77311E+12,4.21345,1,2,135,0.2751009,-0.4901247,-0.8271017,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.2541601,-0.4528162,-0.7641424,0.3826834,135,0.2751009,-0.4901247,-0.8271018
Trial Start,1.77311E+12,0,1,2,135,0.2751009,-0.4901247,-0.8271017,1,-1,-0.04947951,1.002327,0.29853,1.047009,0.00995471,0.00483167,0.008076995,-0.9999062,358.4303,0.7267268,0.3527279,0.5896474,0.09947951,-0.002327323,0.00146997,0.09951759,-0.2579805,0.4605844,0.7552441,-0.3884773,225.7196,-0.2799698,0.4998429,0.8196183
On Target,1.77311E+12,1.736259,1,2,135,0.2751009,-0.4901247,-0.8271017,1,-1,0.05291047,1.002853,0.2837324,1.04356,-0.2292189,0.4601234,0.7263553,-0.456238,234.2892,-0.2575904,0.5170752,0.81626,-0.002910465,-0.002852917,0.0162676,0.01677035,-0.05093361,0.03996504,0.05751565,-0.9962432,350.064,-0.5881543,0.4614951,0.6641602
Off Target,1.77311E+12,1.83362,1,2,135,0.2751009,-0.4901247,-0.8271017,1,-1,0.04709552,1.007829,0.2811438,1.047367,-0.2253047,0.4696448,0.7346148,-0.4347558,231.5395,-0.2501861,0.5215098,0.8157417,0.002904478,-0.007828593,0.01885617,0.02062227,-0.05050725,0.03168409,0.03374701,-0.9976504,352.1432,-0.7372286,0.4624765,0.4925879
On Target,1.77311E+12,2.069533,1,2,135,0.2751009,-0.4901247,-0.8271017,1,-1,0.04509885,1.008603,0.2827885,1.048467,-0.2275051,0.460437,0.7368697,-0.4396161,232.1588,-0.2532941,0.51263,0.8203979,0.004901152,-0.008602619,0.0172115,0.01985603,-0.04284333,0.03630027,0.03993481,-0.9976232,352.0978,-0.621772,0.5268146,0.5795616
Trial End,1.77311E+12,3.055806,1,3,135,0.2751009,-0.4901247,-0.8271017,1,-1,0.049697,0.9970357,0.2979198,1.04178,-0.2387769,0.4603959,0.7438576,-0.4215414,229.8639,-0.2633155,0.5077097,0.8203022,0.000303,0.002964258,0.002080202,0.003633989,-0.03074029,0.02129425,0.02856351,-0.9988923,354.6059,-0.6532902,0.4525435,0.6070293
Trial Load,1.77311E+12,3.055806,1,3,135,0.02932085,0.537179,0.8429585,0.9999999,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.02708894,0.4962887,0.7787921,0.3826834,135,0.02932086,0.5371791,0.8429586
Trial Start,1.77311E+12,0,1,3,135,0.02932085,0.537179,0.8429585,0.9999999,-1,-0.0485185,1.0007,0.3014646,1.046249,0.000189466,-0.001202687,-0.006682512,0.9999769,0.7783304,0.02789465,-0.1770688,-0.9838508,0.09851851,-0.000700235,-0.001464605,0.09853188,0.02939562,0.4964089,0.7814581,0.3768786,135.7191,0.03173573,0.5359268,0.8436679
On Target,1.77311E+12,4.375216,1,3,135,0.02932085,0.537179,0.8429585,0.9999999,-1,0.04851115,1.009787,0.2834108,1.049926,-0.03752702,-0.5375748,-0.7496207,-0.3842835,225.1985,-0.0406482,-0.5822855,-0.8119676,0.001488846,-0.009786606,0.01658922,0.0193183,-0.04267956,0.02392469,-0.01647148,-0.9986665,354.0815,-0.8267193,0.4634304,-0.3190589
Trial End,1.77311E+12,5.361308,1,4,135,0.02932085,0.537179,0.8429585,0.9999999,-1,0.04983672,1.002384,0.2914912,1.045096,-0.0313783,-0.5161809,-0.7747931,-0.3636872,222.6536,-0.03368501,-0.5541269,-0.8317504,0.000163283,-0.002384424,0.008508861,0.008838148,-0.01532053,0.0204889,0.01167387,-0.9996046,356.7774,-0.544854,0.7286602,0.4151654
Trial Load,1.77311E+12,5.361308,1,4,135,-0.4273688,-0.8672823,0.2552986,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.3948373,-0.8012643,0.2358652,0.3826835,135,-0.4273689,-0.8672823,0.2552986
Trial Start,1.77311E+12,0,1,4,135,-0.4273688,-0.8672823,0.2552986,1,-1,-0.04973262,0.9999027,0.3003157,1.045212,-0.00209648,0.001728619,-0.000501018,0.9999962,0.3165176,-0.7590068,0.625827,-0.1813879,0.09973262,9.73E-05,-0.000315696,0.09973317,-0.3940273,-0.8012305,0.2384184,0.3820065,135.0839,-0.4263628,-0.8669828,0.257984
On Target,1.77311E+12,10.2225,1,4,135,-0.4273688,-0.8672823,0.2552986,1,-1,0.04695257,0.988521,0.303474,1.035121,-0.4009167,-0.7768461,0.190175,0.4467766,126.9259,-0.4481291,-0.8683284,0.2125702,0.003047433,0.01147896,-0.003473997,0.01237425,-0.05383039,-0.04122593,0.04711463,0.9965857,9.472055,-0.6519757,-0.4993147,0.5706367
Trial End,1.77311E+12,11.20876,1,5,135,-0.4273688,-0.8672823,0.2552986,1,-1,0.04991344,0.999065,0.2953459,1.043001,0.3549214,0.7806837,-0.2794808,-0.4318036,231.1642,0.3934968,0.865534,-0.3098568,8.66E-05,0.000935018,0.004654139,0.004747922,-0.005132257,0.07387001,0.02896249,-0.9968341,350.8792,-0.06454884,0.9290695,0.3642637
